full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
03-04-13-31-44 MB:04,03-44,95,27,2,yes
04-06-13-31-42 MB:04,06-42,96,27,2,no
04-08-13-31-42 MB:04,08-42,98,27,2,no
04-13-14-31-50 MB:04,14-50,112,27,2,yes
04-13-15-31-37 MB:04,15-37,100,27,2,no
04-13-15-31-43 MB:04,15-43,106,27,2,no
04-13-15-31-56 MB:04,15-56,119,27,2,no
04-13-18-31-56 MB:04,18-56,122,27,2,no
04-13-19-31-35 MB:04,19-35,102,27,2,no
04-13-19-31-43 MB:04,19-43,110,27,2,no
04-13-21-31-39 MB:04,21-39,108,27,2,no
04-13-26-31-32 MB:04,26-32,106,27,2,yes
04-13-29-31-48 MB:04,29-48,125,27,2,no
04-13-30-31-46 MB:04,30-46,124,27,2,yes
03-04-13-31-40 MB:04,03-40,91,27,1,yes
04-06-13-31-48 MB:04,06-48,102,27,1,no
04-08-13-31-48 MB:04,08-48,104,27,1,no
04-13-15-31-35 MB:04,15-35,98,27,1,no
04-13-15-31-46 MB:04,15-46,109,27,1,no
04-13-15-31-57 MB:04,15-57,120,27,1,no
04-13-18-31-35 MB:04,18-35,101,27,1,no
04-13-18-31-37 MB:04,18-37,103,27,1,no
04-13-18-31-46 MB:04,18-46,112,27,1,no
04-13-18-31-47 MB:04,18-47,113,27,1,no
04-13-18-31-51 MB:04,18-51,117,27,1,no
04-13-19-31-47 MB:04,19-47,114,27,1,no
04-13-19-31-56 MB:04,19-56,123,27,1,no
04-13-20-31-45 MB:04,20-45,113,27,1,no
04-13-21-31-33 MB:04,21-33,102,27,1,no
04-13-21-31-40 MB:04,21-40,109,27,1,no
04-13-21-31-44 MB:04,21-44,113,27,1,no
04-13-24-31-54 MB:04,24-54,126,27,1,no
04-13-25-31-42 MB:04,25-42,115,27,1,no
04-13-25-31-48 MB:04,25-48,121,27,1,no
04-13-28-31-54 MB:04,28-54,130,27,1,no
04-13-29-31-42 MB:04,29-42,119,27,1,no
04-13-30-31-43 MB:04,30-43,121,27,1,yes
04-13-30-31-56 MB:04,30-56,134,27,1,yes
04-13-30-31-57 MB:04,30-57,135,27,1,yes
02-04-13-31-45 MB:04,02-45,95,27,0,no
03-04-13-31-33 MB:04,03-33,84,27,0,yes
03-04-13-31-39 MB:04,03-39,90,27,0,yes
03-04-13-31-41 MB:04,03-41,92,27,0,yes
03-04-13-31-58 MB:04,03-58,109,27,0,yes
04-07-13-31-32 MB:04,07-32,87,27,0,yes
04-13-15-31-47 MB:04,15-47,110,27,0,no
04-13-16-31-32 MB:04,16-32,96,27,0,yes
04-13-18-31-57 MB:04,18-57,123,27,0,no
04-13-19-31-46 MB:04,19-46,113,27,0,no
04-13-19-31-51 MB:04,19-51,118,27,0,no
04-13-19-31-57 MB:04,19-57,124,27,0,no
04-13-21-31-41 MB:04,21-41,110,27,0,no
04-13-21-31-58 MB:04,21-58,127,27,0,no
04-13-30-31-35 MB:04,30-35,113,27,0,yes
04-13-30-31-37 MB:04,30-37,115,27,0,yes
04-13-30-31-47 MB:04,30-47,125,27,0,yes
04-13-30-31-51 MB:04,30-51,129,27,0,yes
02-04-13-31-57 MB:04,02-57,107,26,4,no
04-13-19-31-38 MB:04,19-38,105,26,4,no
02-04-13-31-51 MB:04,02-51,101,26,3,no
04-10-13-31-54 MB:04,10-54,112,26,3,no
04-13-19-31-53 MB:04,19-53,120,26,3,no
02-04-13-31-56 MB:04,02-56,106,26,2,no
03-04-13-31-49 MB:04,03-49,100,26,2,yes
04-09-13-31-54 MB:04,09-54,111,26,2,no
04-13-15-31-53 MB:04,15-53,116,26,2,no
04-13-16-31-50 MB:04,16-50,114,26,2,no
04-13-18-31-38 MB:04,18-38,104,26,2,no
02-04-13-31-35 MB:04,02-35,85,26,1,no
02-04-13-31-37 MB:04,02-37,87,26,1,no
02-04-13-31-47 MB:04,02-47,97,26,1,no
03-04-13-31-34 MB:04,03-34,85,26,1,yes
03-04-13-31-36 MB:04,03-36,87,26,1,yes
04-08-13-31-45 MB:04,08-45,101,26,1,no
04-11-13-31-54 MB:04,11-54,113,26,1,no
04-12-13-31-54 MB:04,12-54,114,26,1,yes
04-13-14-31-42 MB:04,14-42,104,26,1,yes
04-13-15-31-38 MB:04,15-38,101,26,1,no
04-13-18-31-53 MB:04,18-53,119,26,1,no
04-13-20-31-35 MB:04,20-35,103,26,1,no
04-13-20-31-37 MB:04,20-37,105,26,1,no
